Nom,Acides gras saturés,Acides organiques,Acides phénoliques,Autres polyphénols,Calcium,Cuivre,Eau,Equivalent Vitamine A,Fer,Fibres,Flavonoides,Glucides,Iode,Lignanes,Lipides,Magnésium,Manganèse,Phosphore,Polyphénols totaux,Potassium,Protéines,Provitamine A Béta-carotène,Sodium,Stilbènes,Sucre,Sélénium,Vitamine B1,Vitamine B2,Vitamine B3,Vitamine B5,Vitamine B6,Vitamine B9,Vitamine C,Vitamine E,Zinc
1,0.023,4.9,0.0,0.0,0.033,6.500000000000001e-05,89.1,2.167e-05,0.0006,2.8,0.0468,2.02,8e-07,0.0,0.2,0.006,8e-06,0.018000000000000002,0.0468,0.10200000000000001,0.66,4.9999999999999996e-06,0.002,0.0,1.69,0.0,3e-05,2e-05,0.0002,0.00022,4.2999999999999995e-05,8e-06,0.0291,0.00022,0.00011
2,0.15,4.88,0.0,0.0,0.0137,3.4000000000000007e-05,89.0,5e-07,0.00034,1.2,0.03689,3.1,3e-07,2e-05,0.7,0.008539999999999999,1.5e-05,0.0184,0.03691,0.157,0.84,3e-06,0.00099,0.0,2.85,2.09e-06,4.2999999999999995e-05,2.5e-05,0.00015,0.00021,7.000000000000001e-05,2.1499999999999997e-05,0.051000000000000004,0.00048,5.4e-05
3,0.059,3.5,0.0,0.0,0.00912,8.599999999999999e-05,72.9,0.0001238,0.0016,10.4,0.0,9.39,9e-07,2e-05,0.7,0.029,0.0,0.0686,2e-05,0.34800000000000003,2.3,0.000743,0.028,0.0,9.39,0.0,0.0,0.00013000000000000002,0.0015,0.0,0.0001,1.4e-05,0.03,2e-05,0.0001
4,0.14,2.63,0.0148,0.0,0.057100000000000005,9.3e-05,80.5,1.667e-05,0.00117,5.8,0.6070800000000001,8.03,1.5e-06,0.0,0.86,0.023,0.00028000000000000003,0.0535,0.62188,0.33,1.33,9.999999999999999e-05,0.0025,0.0,8.03,1.1e-06,3.8e-05,3.8e-05,0.0003,0.0004,7.3e-05,8.2e-06,0.181,0.0021000000000000003,0.00028000000000000003
5,0.2,2.38,0.0030099999999999997,0.0,0.032100000000000004,9.800000000000001e-05,83.9,4.17e-06,0.00083,4.25,0.038579999999999996,6.64,1.1e-06,0.0,0.95,0.012,0.00019,0.0475,0.04316,0.269,1.33,2.4999999999999998e-05,0.002,0.00157,6.64,0.0,3.3e-05,3.5000000000000004e-05,0.0002,6.4e-05,5.800000000000001e-05,1.7e-05,0.045,0.00045000000000000004,0.00021
6,0.13,2.35,0.00168,0.0,0.00898,7.8e-05,84.0,4e-06,0.0002,1.4,0.0892,15.6,4e-07,0.00035,0.4,0.0067800000000000004,5.1e-05,0.0218,0.09123,0.152,0.6,2.4e-05,0.0,0.0,15.0,2.97e-06,4.4999999999999996e-05,1e-05,0.00015,7.5e-05,4e-05,4.9999999999999996e-06,0.0108,0.0004,3.8e-05
7,0.012,2.12,0.11278,0.0,0.025,8.999999999999999e-05,85.5,2e-06,0.00069,5.99,0.09448999999999999,4.26,5.5e-07,0.0,0.36,0.022,0.00067,0.029,0.20727,0.151,1.28,1.2e-05,0.001,0.0,4.26,1.3e-06,3.2e-05,3.8e-05,0.0006,0.00033,5.5e-05,2.1e-05,0.0262,0.0005300000000000001,0.00042
8,0.1,1.49,0.0,0.0,0.0275,0.00012,83.6,8.67e-06,0.00017,3.5,0.0007,8.44,4.9999999999999996e-06,0.0,0.95,0.0143,5.6e-05,0.0334,0.0007,0.297,1.2,5.2e-05,0.00199,0.0,7.89,9.999999999999999e-06,1.7000000000000003e-05,2.5e-05,0.00034,0.00017999999999999998,9.2e-05,3.35e-05,0.0927,0.00146,8.2e-05
9,0.045,0.0,4e-05,0.0,0.0233,3.6e-05,89.8,9.2e-05,5.1e-05,1.25,0.0,6.34,1e-07,0.0,0.2,0.0117,2.1000000000000002e-05,0.013800000000000002,4e-05,0.14400000000000002,0.63,0.000552,0.00109,0.0,5.99,9.999999999999999e-06,4.2999999999999995e-05,2.8e-05,0.00028000000000000003,0.00028000000000000003,4.4e-05,2.45e-05,0.0409,0.00022,6.3e-05
10,0.024,1.4,0.010039999999999999,0.0,0.016100000000000003,8.2e-05,87.6,0.00018166,0.00019,1.8,0.00755,7.14,3.7e-07,0.0,0.35,0.00994,7.099999999999999e-05,0.0225,0.01759,0.229,1.01,0.00109,0.00111,0.0,6.57,1e-08,3e-05,4e-05,0.0006,0.00024,5.4e-05,9e-06,0.01,0.0008900000000000001,0.00014000000000000001
